Time,T_BL100,MF_BL100,Rho_BL100,T_Cori,MF_Cori,Rho_Cori,DP
15.54.19.6,27.6412353515625,2.013212203979492,1022.1033325195312,25.408096313476562,1.686672568321228,1002.9876708984375,2.011883020401001
15.54.20.1,27.6412353515625,2.0117123126983643,1022.08740234375,25.412694931030273,1.6855683326721191,1002.966552734375,2.0181007385253906
15.54.20.6,27.6412353515625,2.0103118419647217,1022.1045532226562,25.410396575927734,1.6836930513381958,1002.9102783203125,2.018131732940674
15.54.21.1,27.55096435546875,2.008962869644165,1022.1099243164062,25.408096313476562,1.6827839612960815,1002.9788818359375,2.027277708053589
15.54.21.6,27.6412353515625,2.0077364444732666,1022.0932006835938,25.41499137878418,1.6816569566726685,1002.9982299804688,2.0360631942749023
15.54.22.1,27.82177734375,2.0066421031951904,1022.087646484375,25.408096313476562,1.6804002523422241,1002.975341796875,2.034637689590454
15.54.22.6,27.6412353515625,2.005632162094116,1022.08740234375,25.408096313476562,1.6793594360351562,1002.7344360351562,2.029970407485962
15.54.23.1,27.6412353515625,2.0046892166137695,1022.1071166992188,25.41499137878418,1.6782498359680176,1002.8469848632812,2.028705358505249
15.54.23.6,27.82177734375,2.0046591758728027,1022.1541137695312,25.40120506286621,1.6777552366256714,1002.7221069335938,2.0385749340057373
15.54.24.1,27.6412353515625,2.006598472595215,1022.1569213867188,25.410396575927734,1.6791819334030151,1002.9700927734375,2.0379202365875244
15.54.24.6,27.9119873046875,2.0084173679351807,1022.1461791992188,25.40580177307129,1.6795765161514282,1002.9472045898438,2.033464193344116
15.54.25.1,28.00225830078125,2.010014295578003,1022.1437377929688,25.410396575927734,1.6807316541671753,1002.7731323242188,2.0406787395477295
15.54.25.6,27.82177734375,2.0114293098449707,1022.1495361328125,25.40580177307129,1.682113528251648,1002.7889404296875,2.0510265827178955
15.54.26.1,27.82177734375,2.012791156768799,1022.1558837890625,25.410396575927734,1.6835522651672363,1002.957763671875,2.0419232845306396
